HT14			rows = 658
6	0.6613	0.015	250000	0.0055
7	0.7659	0.0177	250000	0.0067
8	0.8661	0.02138	250000	0.0081
9	0.9565	0.02754	250000	0.0099
10	1.0283	0.03641	250000	0.0116
11	0.7986	0.11305	250000	-0.0376
12	0.7657	0.14542	250000	-0.0501
13	0.7799	0.16149	250000	-0.0572
14	0.7831	0.18084	250000	-0.0684
15	0.8199	0.19469	250000	-0.0696
-5	-0.555	0.01206	300000	-0.0041
-4	-0.4456	0.01068	300000	-0.0033
-3	-0.3361	0.00934	300000	-0.0026
-2	-0.2272	0.00809	300000	-0.0019
-1	-0.1216	0.00678	300000	-0.0001
0	0.0001	0.00586	300000	0
1	0.1219	0.00679	300000	0.0001
2	0.2274	0.00809	300000	0.0019
3	0.3364	0.00935	300000	0.0026
4	0.4459	0.01068	300000	0.0033
5	0.5552	0.01207	300000	0.0041
6	0.6631	0.01388	300000	0.005
7	0.7688	0.01609	300000	0.0061
8	0.8697	0.01944	300000	0.0074
9	0.9642	0.02417	300000	0.0091
10	1.0445	0.03116	300000	0.011
11	0.8115	0.10935	300000	-0.0379
12	0.5703	0.12301	300000	-0.0255
13	0.5503	0.13444	300000	-0.0304
14	0.5474	0.14714	300000	-0.0359
15	0.5785	0.15831	300000	-0.0365
-5	-0.5555	0.01151	350000	-0.0039
-4	-0.4461	0.01012	350000	-0.0032
-3	-0.336	0.00892	350000	-0.0025
-2	-0.2265	0.00776	350000	-0.0018
-1	-0.1191	0.00659	350000	-0.0005
0	0.0003	0.00547	350000	-0
1	0.1194	0.0066	350000	0.0005
2	0.2267	0.00776	350000	0.0018
3	0.3362	0.00893	350000	0.0025
4	0.4464	0.01012	350000	0.0032
5	0.5558	0.01151	350000	0.0039
6	0.6648	0.01291	350000	0.0047
7	0.7709	0.0151	350000	0.0057
8	0.8738	0.01782	350000	0.0068
9	0.9683	0.02249	350000	0.0086
10	1.0526	0.02849	350000	0.0104
11	1.11	0.03785	350000	0.012
12	1.0819	0.05678	350000	0.0023
14	0.5689	0.14489	350000	-0.0323
15	0.5612	0.15773	350000	-0.0402
-5	-0.5565	0.01087	400000	-0.0037
-4	-0.4465	0.00966	400000	-0.003
-3	-0.336	0.00856	400000	-0.0024
-2	-0.226	0.00748	400000	-0.0018
-1	-0.1176	0.00642	400000	-0.0007
0	0.0002	0.00518	400000	-0
1	0.1179	0.00642	400000	0.0007
2	0.2262	0.00748	400000	0.0018
3	0.3362	0.00857	400000	0.0024
4	0.4467	0.00967	400000	0.003
5	0.5568	0.01087	400000	0.0037
6	0.6656	0.01241	400000	0.0044
7	0.773	0.01417	400000	0.0053
8	0.8756	0.01702	400000	0.0064
9	0.9736	0.02062	400000	0.0079
10	1.0618	0.02573	400000	0.0097
11	1.1236	0.03476	400000	0.0117
12	1.1043	0.05214	400000	0.0058
13	0.9787	0.10015	400000	-0.033
