George-2_N0_Turb		rows = 366
2.943	0.8	0.01779	450000	-0.1204
4.09	0.9	0.01907	450000	-0.1166
5.308	1	0.02081	450000	-0.112
6.621	1.1	0.0232	450000	-0.1063
11.711	1.4	0.03956	450000	-0.0817
15.145	1.5	0.06446	450000	-0.0676
-5.223	-0	0.01517	500000	-0.1356
-4.282	0.1	0.01485	500000	-0.1354
-3.333	0.2	0.01471	500000	-0.1349
-2.371	0.3	0.01473	500000	-0.1342
-1.387	0.4	0.01489	500000	-0.1329
-0.338	0.5	0.01518	500000	-0.1302
0.738	0.6	0.01566	500000	-0.127
1.792	0.7	0.01638	500000	-0.1245
2.878	0.8	0.01732	500000	-0.1217
4.014	0.9	0.01854	500000	-0.118
5.219	1	0.02018	500000	-0.1135
6.514	1.1	0.02243	500000	-0.108
11.437	1.4	0.03713	500000	-0.0843
14.353	1.5	0.05606	500000	-0.0713
-5.248	-0	0.01486	550000	-0.1363
-4.311	0.1	0.01455	550000	-0.1361
-3.366	0.2	0.01442	550000	-0.1357
-2.407	0.3	0.01443	550000	-0.135
-1.428	0.4	0.01458	550000	-0.1338
-0.391	0.5	0.01486	550000	-0.1314
0.687	0.6	0.01532	550000	-0.1281
1.741	0.7	0.01601	550000	-0.1256
2.82	0.8	0.01691	550000	-0.1228
3.949	0.9	0.01809	550000	-0.1193
5.141	1	0.01964	550000	-0.1149
6.422	1.1	0.02177	550000	-0.1095
11.207	1.4	0.03516	550000	-0.0866
13.838	1.5	0.05084	550000	-0.0743
-5.271	-0	0.01458	600000	-0.1368
-4.337	0.1	0.01428	600000	-0.1367
-3.395	0.2	0.01416	600000	-0.1364
-2.44	0.3	0.01417	600000	-0.1358
-1.466	0.4	0.01432	600000	-0.1347
-0.439	0.5	0.01458	600000	-0.1324
0.64	0.6	0.01502	600000	-0.1291
1.695	0.7	0.01568	600000	-0.1266
2.768	0.8	0.01655	600000	-0.1238
3.889	0.9	0.01768	600000	-0.1204
5.073	1	0.01917	600000	-0.1161
6.34	1.1	0.0212	600000	-0.1108
11.014	1.4	0.03353	600000	-0.0887
13.461	1.5	0.04713	600000	-0.0768
-5.292	-0	0.01433	650000	-0.1374
-4.36	0.1	0.01404	650000	-0.1373
-3.421	0.2	0.01392	650000	-0.137
-2.469	0.3	0.01394	650000	-0.1364
-1.499	0.4	0.01408	650000	-0.1354
-0.483	0.5	0.01434	650000	-0.1334
0.596	0.6	0.01475	650000	-0.13
1.652	0.7	0.01539	650000	-0.1274
2.72	0.8	0.01623	650000	-0.1248
3.835	0.9	0.01732	650000	-0.1214
5.011	1	0.01876	650000	-0.1172
6.265	1.1	0.02069	650000	-0.1121
10.845	1.4	0.03213	650000	-0.0905
13.158	1.5	0.04423	650000	-0.0791
-5.31	0	0.01411	700000	-0.1378
-4.381	0.1	0.01383	700000	-0.1378
-3.444	0.2	0.01372	700000	-0.1376
-2.496	0.3	0.01373	700000	-0.1371
-1.529	0.4	0.01386	700000	-0.1361
-0.523	0.5	0.01412	700000	-0.1343
0.555	0.6	0.01452	700000	-0.1309
1.614	0.7	0.01513	700000	-0.1282
2.677	0.8	0.01594	700000	-0.1257
3.786	0.9	0.017	700000	-0.1224
4.954	1	0.01839	700000	-0.1183
6.198	1.1	0.02024	700000	-0.1132
10.698	1.4	0.03095	700000	-0.0922
12.905	1.5	0.04189	700000	-0.0811
-5.327	-0	0.01391	750000	-0.1383
-4.4	0.1	0.01364	750000	-0.1383
-3.466	0.2	0.01353	750000	-0.1381
-2.52	0.3	0.01354	750000	-0.1376
-1.557	0.4	0.01367	750000	-0.1368
-0.56	0.5	0.01392	750000	-0.1352
0.516	0.6	0.0143	750000	-0.1318
1.578	0.7	0.01489	750000	-0.129
2.637	0.8	0.01569	750000	-0.1265
3.741	0.9	0.01671	750000	-0.1233
4.902	1	0.01805	750000	-0.1192
6.138	1.1	0.01984	750000	-0.1143
10.566	1.4	0.0299	750000	-0.0938
12.695	1.5	0.03997	750000	-0.0829
-5.343	-0	0.01373	800000	-0.1387
-4.417	0.1	0.01346	800000	-0.1387
-3.486	0.2	0.01335	800000	-0.1386
-2.542	0.3	0.01336	800000	-0.1382
-1.582	0.4	0.01349	800000	-0.1373
-0.593	0.5	0.01374	800000	-0.1359
0.479	0.6	0.0141	800000	-0.1326
1.545	0.7	0.01467	800000	-0.1297
2.601	0.8	0.01545	800000	-0.1272
3.699	0.9	0.01644	800000	-0.1241
4.854	1	0.01774	800000	-0.1201
6.083	1.1	0.01948	800000	-0.1152
10.449	1.4	0.02901	800000	-0.0952
12.509	1.5	0.0383	800000	-0.0845
16.332	1.6	0.06689	800000	-0.0684
-5.357	-0	0.01356	850000	-0.139
-4.434	0.1	0.0133	850000	-0.1391
-3.504	0.2	0.01319	850000	-0.139
-2.563	0.3	0.0132	850000	-0.1386
-1.605	0.4	0.01333	850000	-0.1379
-0.622	0.5	0.01357	850000	-0.1366
0.444	0.6	0.01392	850000	-0.1334
1.514	0.7	0.01447	850000	-0.1303
2.568	0.8	0.01523	850000	-0.1279
3.662	0.9	0.0162	850000	-0.1248
4.81	1	0.01746	850000	-0.121
6.031	1.1	0.01914	850000	-0.1161
10.339	1.4	0.02817	850000	-0.0966
12.349	1.5	0.0369	850000	-0.086
15.65	1.6	0.0596	850000	-0.0712
-5.37	-0	0.0134	900000	-0.1394
-4.449	0.1	0.01315	900000	-0.1395
-3.521	0.2	0.01304	900000	-0.1394
-2.582	0.3	0.01306	900000	-0.1391
-1.627	0.4	0.01318	900000	-0.1384
-0.648	0.5	0.01341	900000	-0.1372
0.411	0.6	0.01376	900000	-0.1342
1.485	0.7	0.01429	900000	-0.131
2.537	0.8	0.01503	900000	-0.1285
3.627	0.9	0.01598	900000	-0.1255
4.77	1	0.01721	900000	-0.1217
5.982	1.1	0.01883	900000	-0.117
10.243	1.4	0.02745	900000	-0.0978
12.2	1.5	0.03562	900000	-0.0875
15.206	1.6	0.05502	900000	-0.0735
-5.383	-0	0.01326	950000	-0.1397
-4.463	0.1	0.01301	950000	-0.1398
-3.536	0.2	0.01291	950000	-0.1398
-2.6	0.3	0.01292	950000	-0.1395
-1.647	0.4	0.01304	950000	-0.1388
-0.671	0.5	0.01327	950000	-0.1377
0.379	0.6	0.01361	950000	-0.1349
1.458	0.7	0.01412	950000	-0.1315
2.508	0.8	0.01485	950000	-0.1291
3.595	0.9	0.01578	950000	-0.1261
4.733	1	0.01697	950000	-0.1224
5.938	1.1	0.01855	950000	-0.1178
10.155	1.4	0.02679	950000	-0.0989
12.069	1.5	0.03452	950000	-0.0888
14.875	1.6	0.05169	950000	-0.0754
-5.394	0	0.01312	1000000	-0.14
-4.476	0.1	0.01288	1000000	-0.1402
-3.551	0.2	0.01278	1000000	-0.1401
