NACA0012			rows = 658
7	0.7808	0.01632	250000	-0
8	0.8552	0.01914	250000	0.0063
9	0.9325	0.02222	250000	0.0116
10	1.0065	0.02684	250000	0.0166
11	1.0722	0.03204	250000	0.0216
12	1.1009	0.0393	250000	0.0297
13	1.0812	0.04931	250000	0.0369
14	0.9949	0.07171	250000	0.0279
15	0.6834	0.1703	250000	-0.0275
-5	-0.627	0.0117	300000	0.0121
-4	-0.5397	0.01056	300000	0.0157
-3	-0.3956	0.00964	300000	0.008
-2	-0.2377	0.00875	300000	-0.0015
-1	-0.1072	0.008	300000	-0.0037
0	0	0.00768	300000	-0
1	0.1072	0.008	300000	0.0037
2	0.2377	0.00875	300000	0.0015
3	0.3956	0.00964	300000	-0.008
4	0.5396	0.01055	300000	-0.0157
5	0.627	0.0117	300000	-0.0121
6	0.708	0.01343	300000	-0.007
7	0.7861	0.01544	300000	-0.0012
8	0.8632	0.01772	300000	0.0047
9	0.936	0.0211	300000	0.0107
10	1.0138	0.02415	300000	0.0155
11	1.078	0.02915	300000	0.0211
12	1.1248	0.03387	300000	0.0279
13	1.1108	0.04524	300000	0.0359
14	1.071	0.05933	300000	0.0343
15	0.959	0.09184	300000	0.0139
-5	-0.63	0.01128	350000	0.0128
-4	-0.5288	0.01013	350000	0.0136
-3	-0.3723	0.00906	350000	0.0035
-2	-0.2229	0.00812	350000	-0.0041
-1	-0.104	0.00738	350000	-0.0039
0	0	0.00709	350000	-0
1	0.104	0.00738	350000	0.0039
2	0.2229	0.00812	350000	0.0041
3	0.3723	0.00906	350000	-0.0035
4	0.5288	0.01013	350000	-0.0136
5	0.63	0.01127	350000	-0.0128
6	0.7127	0.01281	350000	-0.0081
7	0.7925	0.01459	350000	-0.0025
8	0.8689	0.01686	350000	0.0036
9	0.9455	0.01947	350000	0.0093
10	1.0159	0.02346	350000	0.015
11	1.0886	0.02635	350000	0.0198
12	1.1271	0.03293	350000	0.0274
13	1.1418	0.03969	350000	0.0347
14	1.1213	0.05175	350000	0.0355
15	1.0503	0.07545	350000	0.0229
-5	-0.6327	0.01095	400000	0.0135
-4	-0.5076	0.00969	400000	0.0094
-3	-0.3556	0.00857	400000	0.0003
-2	-0.2144	0.00762	400000	-0.0054
-1	-0.1031	0.00694	400000	-0.0038
1	0.1031	0.00694	400000	0.0038
2	0.2144	0.00762	400000	0.0054
3	0.3556	0.00857	400000	-0.0003
4	0.5077	0.00968	400000	-0.0094
5	0.6326	0.01095	400000	-0.0135
6	0.716	0.0124	400000	-0.0089
7	0.7963	0.01409	400000	-0.0033
8	0.8763	0.01591	400000	0.0023
9	0.9537	0.01829	400000	0.008
10	1.0261	0.02164	400000	0.0136
11	1.0962	0.02483	400000	0.0187
12	1.1419	0.02999	400000	0.0262
13	1.1658	0.036	400000	0.0333
14	1.1686	0.04506	400000	0.0356
15	1.14	0.06066	400000	0.0302
-5	-0.6352	0.01068	450000	0.0141
-4	-0.4912	0.00933	450000	0.0062
-3	-0.3405	0.00818	450000	-0.0026
-2	-0.2095	0.00723	450000	-0.0061
-1	-0.1031	0.00661	450000	-0.0035
0	0	0.00639	450000	-0
1	0.1031	0.00661	450000	0.0035
2	0.2095	0.00723	450000	0.0061
3	0.3405	0.00818	450000	0.0026
4	0.4912	0.00933	450000	-0.0062
5	0.6351	0.01068	450000	-0.0141
6	0.7197	0.01199	450000	-0.0096
7	0.8005	0.01358	450000	-0.0041
8	0.8813	0.01529	450000	0.0013
9	0.9599	0.01745	450000	0.0069
10	1.0354	0.02032	450000	0.0123
11	1.1001	0.02422	450000	0.0182
12	1.1561	0.02788	450000	0.0248
13	1.1873	0.03296	450000	0.0318
14	1.1814	0.04312	450000	0.0352
15	1.1226	0.06302	450000	0.0286
-5	-0.6261	0.01039	500000	0.0123
-4	-0.4778	0.00898	500000	0.0035
-3	-0.3308	0.00784	500000	-0.0044
-2	-0.2087	0.00695	500000	-0.0059
-1	-0.1036	0.00637	500000	-0.0031
0	0	0.00617	500000	-0
1	0.1036	0.00637	500000	0.0031
2	0.2087	0.00695	500000	0.0059
3	0.3308	0.00784	500000	0.0044
4	0.4779	0.00898	500000	-0.0035
6	0.7224	0.0117	500000	-0.0102
7	0.8047	0.01311	500000	-0.0049
8	0.8831	0.01501	500000	0.0009
9	0.96	0.0173	500000	0.0068
10	1.0439	0.01925	500000	0.011
11	1.1117	0.02274	500000	0.0167
12	1.1713	0.0261	500000	0.023
13	1.1938	0.03198	500000	0.0311
14	1.1864	0.04233	500000	0.0348
15	1.1706	0.05623	500000	0.0303
-5	-0.6134	0.01008	550000	0.0097
-4	-0.4675	0.0087	550000	0.0015
-3	-0.3248	0.00757	550000	-0.0054
-2	-0.2083	0.00672	550000	-0.0056
-1	-0.1039	0.00619	550000	-0.0029
0	0	0.006	550000	-0
1	0.1039	0.00619	550000	0.0029
2	0.2083	0.00672	550000	0.0056
3	0.3248	0.00757	550000	0.0054
4	0.4675	0.0087	550000	-0.0015
5	0.6134	0.01008	550000	-0.0097
6	0.7251	0.01143	550000	-0.0108
7	0.8079	0.01276	550000	-0.0056
8	0.8883	0.01443	550000	0
9	0.967	0.01649	550000	0.0057
10	1.0486	0.01864	550000	0.0102
11	1.1217	0.0216	550000	0.0154
12	1.184	0.02483	550000	0.0213
13	1.1946	0.03182	550000	0.031
14	1.2136	0.03903	550000	0.0342
15	1.2043	0.05167	550000	0.0312
-5	-0.6028	0.00982	600000	0.0075
-4	-0.4584	0.00847	600000	-0.0003
-3	-0.3197	0.00733	600000	-0.0062
-2	-0.2087	0.00653	600000	-0.0053
-1	-0.1045	0.00604	600000	-0.0026
0	0	0.00589	600000	-0
1	0.1045	0.00604	600000	0.0026
2	0.2087	0.00653	600000	0.0053
3	0.3197	0.00733	600000	0.0062
4	0.4584	0.00847	600000	0.0003
5	0.6028	0.00982	600000	-0.0075
6	0.7277	0.01118	600000	-0.0114
7	0.8104	0.0125	600000	-0.0062
8	0.8923	0.01398	600000	-0.0007
9	0.9725	0.01588	600000	0.0048
10	1.0483	0.01855	600000	0.0102
11	1.1306	0.02064	600000	0.0142
12	1.1828	0.02484	600000	0.0214
13	1.2147	0.02972	600000	0.0295
14	1.2355	0.03652	600000	0.0335
15	1.2334	0.04788	600000	0.0317
-5	-0.5939	0.00959	650000	0.0057
-4	-0.4503	0.00823	650000	-0.0019
-3	-0.3185	0.00714	650000	-0.0062
-2	-0.2094	0.00638	650000	-0.0049
-1	-0.1049	0.00592	650000	-0.0024
0	-0	0.00576	650000	0
1	0.1049	0.00592	650000	0.0024
2	0.2094	0.00638	650000	0.0049
3	0.3185	0.00714	650000	0.0062
4	0.4503	0.00823	650000	0.0019
5	0.5939	0.00959	650000	-0.0057
6	0.7299	0.01097	650000	-0.0118
7	0.8126	0.01228	650000	-0.0066
8	0.8958	0.0136	650000	-0.0013
9	0.9769	0.01537	650000	0.004
10	1.0557	0.01774	650000	0.0091
11	1.1383	0.01983	650000	0.0131
12	1.1884	0.02434	650000	0.0207
13	1.2318	0.02811	650000	0.028
14	1.2556	0.03436	650000	0.0328
15	1.2615	0.04437	650000	0.0321
-5	-0.5857	0.00939	700000	0.004
-4	-0.443	0.00804	700000	-0.0034
-3	-0.3169	0.00699	700000	-0.0064
-2	-0.2102	0.00625	700000	-0.0046
-1	-0.1053	0.00582	700000	-0.0022
0	0	0.0057	700000	-0
1	0.1053	0.00582	700000	0.0022
2	0.2102	0.00625	700000	0.0046
3	0.3169	0.00699	700000	0.0064
4	0.443	0.00804	700000	0.0034
5	0.5857	0.00939	700000	-0.004
7	0.8156	0.01199	700000	-0.0072
8	0.8986	0.01329	700000	-0.0019
9	0.9808	0.01495	700000	0.0034
10	1.0615	0.01711	700000	0.0083
11	1.1444	0.01919	700000	0.0122
12	1.2017	0.02317	700000	0.019
13	1.2472	0.02679	700000	0.0266
14	1.2753	0.03238	700000	0.0319
15	1.2862	0.04143	700000	0.0322
-5	-0.5791	0.00921	750000	0.0026
-4	-0.4374	0.00788	750000	-0.0044
-3	-0.3169	0.00684	750000	-0.0062
-2	-0.211	0.00614	750000	-0.0042
