MH32				rows = 1795
7.5	1.0816	0.00963	3500000	-0.0536
8	1.1296	0.01055	3500000	-0.0525
8.5	1.1779	0.0114	3500000	-0.0515
9	1.2266	0.01212	3500000	-0.0506
9.5	1.274	0.01295	3500000	-0.0495
10	1.3199	0.01388	3500000	-0.0482
10.5	1.3641	0.01489	3500000	-0.0468
11	1.4065	0.01598	3500000	-0.0451
11.5	1.4465	0.01719	3500000	-0.0432
12	1.4795	0.01887	3500000	-0.0402
12.5	1.4544	0.02394	3500000	-0.029
13	1.4655	0.02607	3500000	-0.0239
13.5	1.472	0.02888	3500000	-0.0195
14	1.4703	0.03268	3500000	-0.0159
14.5	1.4639	0.03771	3500000	-0.0137
15	1.4455	0.04477	3500000	-0.0134
-5	-0.2719	0.00683	4000000	-0.0584
-4.5	-0.2167	0.00647	4000000	-0.0583
-4	-0.1606	0.0061	4000000	-0.0583
-3.5	-0.105	0.00588	4000000	-0.0581
-3	-0.0494	0.00552	4000000	-0.058
-2.5	0.0058	0.00529	4000000	-0.0579
-2	0.0605	0.00503	4000000	-0.0578
-1.5	0.1154	0.00485	4000000	-0.0577
-1	0.1704	0.00461	4000000	-0.0576
-0.5	0.2256	0.0045	4000000	-0.0576
0	0.2804	0.00438	4000000	-0.0576
0.5	0.3348	0.00433	4000000	-0.0575
1	0.3891	0.00433	4000000	-0.0573
1.5	0.4436	0.00432	4000000	-0.0571
2	0.4972	0.00438	4000000	-0.0567
2.5	0.5486	0.00438	4000000	-0.0557
3	0.6114	0.00465	4000000	-0.0574
3.5	0.6701	0.00504	4000000	-0.0583
4	0.7215	0.00557	4000000	-0.0576
4.5	0.7743	0.00599	4000000	-0.0572
5	0.8268	0.00644	4000000	-0.0568
5.5	0.8793	0.00691	4000000	-0.0563
6	0.9302	0.00756	4000000	-0.0557
6.5	0.9806	0.00828	4000000	-0.055
7	1.0319	0.00885	4000000	-0.0544
7.5	1.0827	0.00947	4000000	-0.0538
8	1.1311	0.01035	4000000	-0.0528
8.5	1.1807	0.01104	4000000	-0.0519
9	1.2297	0.01174	4000000	-0.0511
9.5	1.2776	0.01252	4000000	-0.0501
10	1.3241	0.01338	4000000	-0.0489
10.5	1.3691	0.01433	4000000	-0.0476
11	1.4123	0.01538	4000000	-0.046
11.5	1.4517	0.01669	4000000	-0.0439
12.5	1.5011	0.02119	4000000	-0.0357
13	1.5188	0.02274	4000000	-0.0305
13.5	1.5308	0.02472	4000000	-0.0253
14	1.538	0.02732	4000000	-0.0207
14.5	1.539	0.03073	4000000	-0.0167
15	1.5328	0.0354	4000000	-0.0139
