HT14_Turb			rows = 352
6.267	0.7	0.01403	550000	0.0032
7.234	0.8	0.01309	550000	0.0045
8.17	0.9	0.01452	550000	0.0053
9.131	1	0.01644	550000	0.0063
10.16	1.1	0.01988	550000	0.0077
11.476	1.2	0.02822	550000	0.0104
-0.001	0	0.01117	600000	-0
0.885	0.1	0.01121	600000	0.0004
1.772	0.2	0.01135	600000	0.0007
2.661	0.3	0.01159	600000	0.0011
3.553	0.4	0.01193	600000	0.0016
4.449	0.5	0.01239	600000	0.002
5.351	0.6	0.01298	600000	0.0025
6.261	0.7	0.01373	600000	0.0031
7.227	0.8	0.01276	600000	0.0044
8.16	0.9	0.01414	600000	0.0052
9.117	1	0.01599	600000	0.0061
10.143	1.1	0.01941	600000	0.0076
-0.001	-0	0.01098	650000	-0
0.884	0.1	0.01103	650000	0.0004
1.771	0.2	0.01116	650000	0.0007
2.659	0.3	0.01139	650000	0.0011
3.551	0.4	0.01172	650000	0.0015
4.446	0.5	0.01217	650000	0.002
5.347	0.6	0.01275	650000	0.0025
6.256	0.7	0.01348	650000	0.0031
7.22	0.8	0.01247	650000	0.0043
8.151	0.9	0.0138	650000	0.0051
9.105	1	0.01559	650000	0.006
10.128	1.1	0.01902	650000	0.0074
-0.001	0	0.01082	700000	-0
0.884	0.1	0.01086	700000	0.0004
1.77	0.2	0.01099	700000	0.0007
2.658	0.3	0.01122	700000	0.0011
3.549	0.4	0.01154	700000	0.0015
4.443	0.5	0.01197	700000	0.002
5.344	0.6	0.01253	700000	0.0024
6.251	0.7	0.01325	700000	0.003
7.214	0.8	0.01222	700000	0.0042
8.143	0.9	0.0135	700000	0.005
9.094	1	0.01524	700000	0.0059
10.117	1.1	0.0187	700000	0.0073
13.443	1.2	0.06223	700000	-0.009
-0.001	-0	0.01067	750000	-0
0.883	0.1	0.01071	750000	0.0003
1.769	0.2	0.01084	750000	0.0007
2.656	0.3	0.01106	750000	0.0011
3.547	0.4	0.01138	750000	0.0015
4.441	0.5	0.0118	750000	0.0019
5.34	0.6	0.01235	750000	0.0024
6.247	0.7	0.01304	750000	0.003
7.208	0.8	0.01198	750000	0.0041
8.135	0.9	0.01323	750000	0.0049
9.084	1	0.01493	750000	0.0058
10.106	1.1	0.01843	750000	0.0073
13.692	1.2	0.06757	750000	-0.0133
-0.001	0	0.01053	800000	-0
0.883	0.1	0.01057	800000	0.0003
1.768	0.2	0.0107	800000	0.0007
2.655	0.3	0.01091	800000	0.0011
3.545	0.4	0.01122	800000	0.0015
4.438	0.5	0.01164	800000	0.0019
5.337	0.6	0.01217	800000	0.0024
6.243	0.7	0.01285	800000	0.0029
7.203	0.8	0.01177	800000	0.0041
8.129	0.9	0.01299	800000	0.0048
9.076	1	0.01465	800000	0.0057
10.097	1.1	0.01819	800000	0.0072
11.291	1.2	0.02451	800000	0.0096
-0.001	-0	0.0104	850000	-0
0.883	0.1	0.01045	850000	0.0003
1.767	0.2	0.01057	850000	0.0007
2.654	0.3	0.01078	850000	0.0011
3.543	0.4	0.01109	850000	0.0014
4.436	0.5	0.01149	850000	0.0019
5.334	0.6	0.01201	850000	0.0023
6.239	0.7	0.01267	850000	0.0029
7.198	0.8	0.01158	850000	0.004
8.123	0.9	0.01277	850000	0.0047
9.068	1	0.0144	850000	0.0056
10.09	1.1	0.01799	850000	0.0071
11.233	1.2	0.02328	850000	0.0092
12.718	1.3	0.03243	850000	0.0119
-0.001	0	0.01029	900000	-0
0.882	0.1	0.01033	900000	0.0003
1.767	0.2	0.01045	900000	0.0007
2.653	0.3	0.01066	900000	0.001
3.542	0.4	0.01096	900000	0.0014
4.434	0.5	0.01135	900000	0.0018
5.332	0.6	0.01187	900000	0.0023
6.236	0.7	0.01251	900000	0.0028
7.194	0.8	0.0114	900000	0.004
8.117	0.9	0.01256	900000	0.0046
9.06	1	0.01417	900000	0.0055
10.083	1.1	0.01783	900000	0.0071
11.187	1.2	0.02229	900000	0.0089
12.531	1.3	0.02956	900000	0.0114
-0.001	0	0.01018	950000	-0
0.882	0.1	0.01022	950000	0.0003
1.766	0.2	0.01034	950000	0.0007
2.652	0.3	0.01054	950000	0.001
3.54	0.4	0.01084	950000	0.0014
4.432	0.5	0.01123	950000	0.0018
5.33	0.6	0.01173	950000	0.0023
6.233	0.7	0.01237	950000	0.0028
7.19	0.8	0.01124	950000	0.0039
8.112	0.9	0.01237	950000	0.0046
9.054	1	0.01396	950000	0.0055
10.077	1.1	0.01768	950000	0.007
11.149	1.2	0.02143	950000	0.0087
12.474	1.3	0.02858	950000	0.0111
-0.001	-0	0.01008	1000000	-0
0.882	0.1	0.01012	1000000	0.0003
1.765	0.2	0.01024	1000000	0.0007
2.651	0.3	0.01044	1000000	0.001
3.539	0.4	0.01073	1000000	0.0014
4.431	0.5	0.01111	1000000	0.0018
5.327	0.6	0.01161	1000000	0.0023
6.23	0.7	0.01223	1000000	0.0028
7.186	0.8	0.01109	1000000	0.0038
8.107	0.9	0.0122	1000000	0.0045
9.048	1	0.01377	1000000	0.0054
10.064	1.1	0.01731	1000000	0.0069
11.117	1.2	0.02068	1000000	0.0085
12.602	1.3	0.03056	1000000	0.0114
-0.001	0	0.0099	1100000	-0
0.881	0.1	0.00993	1100000	0.0003
1.764	0.2	0.01005	1100000	0.0006
2.649	0.3	0.01024	1100000	0.001
3.537	0.4	0.01053	1100000	0.0014
4.428	0.5	0.0109	1100000	0.0018
5.323	0.6	0.01138	1100000	0.0022
6.225	0.7	0.01198	1100000	0.0027
7.179	0.8	0.01081	1100000	0.0037
8.098	0.9	0.01189	1100000	0.0044
9.037	1	0.01343	1100000	0.0053
10.032	1.1	0.0164	1100000	0.0066
11.066	1.2	0.01946	1100000	0.0081
12.357	1.3	0.02657	1100000	0.0105
-0.001	-0	0.00973	1200000	-0
0.881	0.1	0.00977	1200000	0.0003
1.763	0.2	0.00988	1200000	0.0006
2.648	0.3	0.01007	1200000	0.001
3.535	0.4	0.01035	1200000	0.0013
4.425	0.5	0.01071	1200000	0.0017
5.32	0.6	0.01118	1200000	0.0022
6.221	0.7	0.01176	1200000	0.0026
7.173	0.8	0.01058	1200000	0.0037
8.09	0.9	0.01162	1200000	0.0043
9.027	1	0.01314	1200000	0.0052
10.009	1.1	0.01572	1200000	0.0064
11.036	1.2	0.0187	1200000	0.0078
12.232	1.3	0.02431	1200000	0.01
-0.001	0	0.00959	1300000	-0
0.88	0.1	0.00962	1300000	0.0003
1.763	0.2	0.00973	1300000	0.0006
2.646	0.3	0.00992	1300000	0.001
3.533	0.4	0.01019	1300000	0.0013
4.422	0.5	0.01054	1300000	0.0017
5.317	0.6	0.011	1300000	0.0021
6.217	0.7	0.01156	1300000	0.0026
7.168	0.8	0.01036	1300000	0.0036
8.083	0.9	0.01138	1300000	0.0042
9.019	1	0.01289	1300000	0.0051
9.991	1.1	0.01517	1300000	0.0062
11.046	1.2	0.01892	1300000	0.0078
12.151	1.3	0.02273	1300000	0.0095
13.645	1.4	0.03137	1300000	0.0125
-0.001	0	0.00946	1400000	-0
0.88	0.1	0.00949	1400000	0.0003
1.762	0.2	0.0096	1400000	0.0006
2.645	0.3	0.00978	1400000	0.0009
3.531	0.4	0.01004	1400000	0.0013
4.42	0.5	0.01039	1400000	0.0017
5.314	0.6	0.01083	1400000	0.0021
6.213	0.7	0.01139	1400000	0.0026
7.163	0.8	0.01017	1400000	0.0035
8.077	0.9	0.01116	1400000	0.0041
9.012	1	0.01268	1400000	0.005
9.975	1.1	0.01471	1400000	0.0061
11.008	1.2	0.018	1400000	0.0075
12.091	1.3	0.0215	1400000	0.0092
13.418	1.4	0.0281	1400000	0.0118
-0.001	-0	0.00934	1500000	-0
0.879	0.1	0.00937	1500000	0.0003
1.761	0.2	0.00948	1500000	0.0006
2.644	0.3	0.00966	1500000	0.0009
3.529	0.4	0.00991	1500000	0.0013
4.418	0.5	0.01025	1500000	0.0016
5.311	0.6	0.01069	1500000	0.0021
6.21	0.7	0.01123	1500000	0.0025
7.158	0.8	0.01	1500000	0.0035
8.071	0.9	0.01097	1500000	0.0041
9.005	1	0.0125	1500000	0.0049
9.963	1.1	0.01434	1500000	0.0059
10.98	1.2	0.01727	1500000	0.0073
12.045	1.3	0.02051	1500000	0.0089
13.372	1.4	0.02737	1500000	0.0115
