BE12288M1_2 No Flap Number of Rows = 1122
-30 -0.67914 0.329749 30000 0.055682
-29.5 -0.66252 0.325203 30000 0.050532
-29 -0.64594 0.3218 30000 0.045135
-28.5 -0.63015 0.321158 30000 0.039325
-28 -0.61482 0.320169 30000 0.033716
-27.5 -0.5948 0.306852 30000 0.030221
-27 -0.57656 0.300427 30000 0.025845
-26.5 -0.55855 0.295162 30000 0.02124
-25.5 -0.26506 0.230282 30000 -0.02601
-24.5 -0.48865 0.278587 30000 0.002148
-24 -0.46838 0.270148 30000 -0.0014
-23.5 -0.44948 0.264494 30000 -0.00541
-23 -0.43118 0.259722 30000 -0.00959
-22.5 -0.4142 0.256719 30000 -0.01408
-22 -0.40121 0.25801 30000 -0.01898
-21.5 -0.38159 0.249405 30000 -0.02248
-21 -0.35901 0.239116 30000 -0.02508
-20.5 -0.34041 0.233542 30000 -0.02835
-20 -0.32401 0.22972 30000 -0.03193
-19.5 -0.31294 0.230061 30000 -0.03593
-19 -0.30105 0.227545 30000 -0.0393
-18.5 -0.275 0.214271 30000 -0.04079
-18 -0.25843 0.20877 30000 -0.04292
-17.5 -0.24694 0.205918 30000 -0.04526
-17 -0.24782 0.209417 30000 -0.04768
-16.5 -0.22703 0.197581 30000 -0.04792
-16 -0.21649 0.192197 30000 -0.04756
-15.5 -0.21447 0.189777 30000 -0.0468
-15 -0.22537 0.191819 30000 -0.04545
-14.5 -0.23468 0.19064 30000 -0.0431
-14 -0.22668 0.182661 30000 -0.03961
-13.5 -0.23413 0.180874 30000 -0.03652
-13 -0.25023 0.18184 30000 -0.03382
-12.5 -0.27796 0.186349 30000 -0.03125
-12 -0.26127 0.174813 30000 -0.0282
-11.5 -0.26686 0.172022 30000 -0.02541
-11 -0.28683 0.17325 30000 -0.02321
-10.5 -0.29372 0.169497 30000 -0.02097
-10 -0.29052 0.164137 30000 -0.01824
-9.5 -0.30634 0.163503 30000 -0.0161
-8.5 -0.31608 0.155721 30000 -0.01148
-8 -0.33506 0.154995 30000 -0.00903
-7.5 -0.34955 0.152186 30000 -0.00652
-7 -0.35075 0.147702 30000 -0.00365
-6.5 -0.39322 0.150154 30000 -0.0008
-6 -0.37753 0.141564 30000 0.002617
-5.5 -0.40103 0.141206 30000 0.001807
-5 -0.39378 0.13465 30000 0.005296
-4.5 -0.39515 0.130186 30000 0.005795
-4 -0.39368 0.126374 30000 0.004207
-3.5 -0.38658 0.121628 30000 0.004126
-3 -0.37718 0.116818 30000 0.004807
-2.5 -0.36379 0.112266 30000 0.003319
-2 -0.34961 0.107535 30000 0.003679
-1.5 -0.33508 0.103064 30000 0.004602
0 -0.36248 0.085492 30000 0.041689
0.5 -0.3533 0.079928 30000 0.047324
1 -0.32711 0.07545 30000 0.04638
1.5 -0.27371 0.072629 30000 0.036402
2 0.171979 0.088991 30000 -0.09724
2.5 0.275328 0.091897 30000 -0.11764
3 0.342237 0.094792 30000 -0.12711
3.5 0.430523 0.10042 30000 -0.13983
4 0.509811 0.106717 30000 -0.15015
4.5 0.57548 0.112615 30000 -0.15744
5 0.620779 0.117511 30000 -0.16092
5.5 0.667406 0.122345 30000 -0.16437
6 0.72237 0.128328 30000 -0.16919
6.5 0.742868 0.132697 30000 -0.16858
7 0.770434 0.137993 30000 -0.16918
7.5 0.806341 0.144813 30000 -0.17115
8 0.840046 0.152157 30000 -0.17299
8.5 0.850507 0.155664 30000 -0.17185
9 0.871649 0.160744 30000 -0.17225
9.5 0.896255 0.166588 30000 -0.17327
10 0.921143 0.17268 30000 -0.17447
10.5 0.944983 0.178773 30000 -0.17568
11 0.96549 0.184408 30000 -0.17679
11.5 0.985477 0.189957 30000 -0.17799
12 1.004466 0.195369 30000 -0.17929
12.5 1.023412 0.200848 30000 -0.18078
13 1.0432 0.206487 30000 -0.18245
13.5 1.063996 0.212694 30000 -0.1844
14 1.085512 0.218849 30000 -0.18634
14.5 1.112731 0.227254 30000 -0.18865
15 1.135528 0.234175 30000 -0.19073
15.5 1.150939 0.238354 30000 -0.19284
16 1.167424 0.243186 30000 -0.19511
16.5 1.181041 0.247429 30000 -0.19775
17 1.198707 0.253005 30000 -0.20038
17.5 1.214853 0.258556 30000 -0.20335
18 1.232635 0.264462 30000 -0.20624
18.5 1.250362 0.270777 30000 -0.20933
19 1.268465 0.277262 30000 -0.21244
19.5 1.286483 0.283841 30000 -0.21561
20 1.305514 0.291275 30000 -0.21876
20.5 1.32331 0.298108 30000 -0.22202
21 1.343449 0.306787 30000 -0.22502
21.5 1.361664 0.31409 30000 -0.22827
22 1.370535 0.315164 30000 -0.2331
22.5 1.381692 0.319109 30000 -0.23797
23 1.397007 0.325519 30000 -0.24208
23.5 1.419353 0.337362 30000 -0.24461
24 1.430715 0.33934 30000 -0.24959
24.5 1.440992 0.342881 30000 -0.25517
25 1.463356 0.356328 30000 -0.25737
25.5 1.47091 0.354937 30000 -0.2638
26 1.485296 0.362128 30000 -0.26828
26.5 1.500299 0.367834 30000 -0.27251
27 1.510982 0.371555 30000 -0.27834
27.5 1.527047 0.378894 30000 -0.28207
28 1.537386 0.382252 30000 -0.2881
28.5 1.551592 0.387857 30000 -0.29242
29 1.564006 0.394688 30000 -0.29741
29.5 1.574083 0.395521 30000 -0.30358
30 1.590777 0.409982 30000 -0.30609
-30 -0.35575 0.266383 40000 0.000891
-29 -0.64639 0.320737 40000 0.045549
-28.5 -0.62888 0.314108 40000 0.041084
-27 -0.29601 0.241229 40000 -0.01784
-26.5 -0.28343 0.235147 40000 -0.02045
-26 -0.27203 0.230602 40000 -0.02319
-25.5 -0.26104 0.226497 40000 -0.02596
-25 -0.25059 0.222919 40000 -0.02876
-24.5 -0.24198 0.221042 40000 -0.03168
-23.5 -0.2193 0.211438 40000 -0.03633
-23 -0.20771 0.20702 40000 -0.03833
-22.5 -0.19758 0.203504 40000 -0.04028
-22 -0.18896 0.200776 40000 -0.04211
-21.5 -0.1836 0.200006 40000 -0.04384
-19.5 -0.30502 0.222521 40000 -0.03594
-19 -0.28559 0.215733 40000 -0.03835
-18.5 -0.26914 0.210942 40000 -0.04115
-18 -0.25676 0.208496 40000 -0.04427
-17.5 -0.25486 0.211433 40000 -0.04751
-17 -0.23282 0.199339 40000 -0.04824
-16.5 -0.21865 0.192845 40000 -0.04838
-16 -0.21263 0.189401 40000 -0.04804
-15.5 -0.2159 0.18873 40000 -0.04704
-15 -0.23508 0.193137 40000 -0.04506
-14.5 -0.23793 0.18797 40000 -0.04192
-14 -0.23484 0.181552 40000 -0.03806
-13.5 -0.24142 0.179164 40000 -0.0347
-13 -0.2516 0.177875 40000 -0.03181
-12.5 -0.27197 0.180002 40000 -0.02964
-12 -0.30478 0.18557 40000 -0.02771
-11.5 -0.27843 0.171089 40000 -0.02441
-11 -0.28274 0.167914 40000 -0.02192
-10.5 -0.29277 0.166173 40000 -0.01997
-10 -0.31652 0.168009 40000 -0.01857
-9.5 -0.35127 0.171581 40000 -0.01685
-9 -0.31406 0.156912 40000 -0.01395
-8.5 -0.32369 0.154562 40000 -0.01193
